entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over15,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Under15,FT_Odd_Under25
OVER25,12.10.2023,18:45,EUROPE - EURO - QUALIFICATION - ROUND 7,Albania,Czech Republic,3.4,3.1,2.3,1.44,2.4,2.1,2.63,1.53
BTTS_SIM,12.10.2023,18:45,EUROPE - EURO - QUALIFICATION - ROUND 7,Spain,Scotland,1.25,6.25,11.0,1.22,1.67,2.25,4.0,2.15
BTTS_SIM,12.10.2023,22:00,NORTH & CENTRAL AMERICA - CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 3,Suriname,Haiti,2.6,3.2,2.6,1.4,2.25,1.91,2.75,1.62
BTTS_SIM,12.10.2023,10:00,SPAIN - COPA DEL REY - 1/128-FINALS,Hernan Cortes,Sauzal,1.83,3.5,4.5,1.18,1.67,1.62,4.5,2.15
BTTS_SIM,12.10.2023,15:30,SPAIN - COPA DEL REY - 1/128-FINALS,Quintanar de la Orden,Union Zona Norte,2.0,3.6,3.0,0.0,1.67,1.67,0.0,2.15
UNDER25,12.10.2023,16:00,WORLD - FRIENDLY INTERNATIONAL,Bahrain,Kyrgyzstan,1.67,3.6,5.0,1.29,1.95,1.83,3.5,1.9
