entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over15,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Under15,FT_Odd_Under25
OVER25,07.08.2023,18:00,POLAND - DIVISION 1 - ROUND 3,R. Rzeszow,Podbeskidzie,3.1,3.3,2.1,1.25,1.88,1.67,3.75,1.98
OVER25,07.08.2023,18:30,ROMANIA - LIGA 1 - ROUND 4,FC Voluntari,FC Rapid Bucuresti,3.25,3.3,2.1,1.36,2.2,1.91,3.0,1.65
BTTS_SIM,07.08.2023,18:15,BULGARIA - PARVA LIGA - ROUND 4,Beroe,Krumovgrad,2.6,3.1,2.88,1.4,2.25,1.91,2.75,1.62
