entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over15,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Under15,FT_Odd_Under25
Back_home,08.08.2023,00:00,CHILE - PRIMERA DIVISION - ROUND 20,U. De Chile,O'Higgins,1.91,3.4,4.33,1.4,2.25,2.0,2.75,1.62
Back_home,08.08.2023,18:45,ENGLAND - EFL CUP - 1/64-FINALS,Barnsley,Tranmere,1.6,4.2,5.5,1.2,1.7,1.75,4.33,2.1
Time visitante,08.08.2023,18:00,ENGLAND - EFL CUP - 1/64-FINALS,Huddersfield,Middlesbrough,3.3,3.5,2.15,1.25,1.89,1.7,3.75,2.01
Time visitante,08.08.2023,18:30,ENGLAND - EFL CUP - 1/64-FINALS,Newport,Charlton,3.25,3.4,2.2,1.22,1.75,1.62,4.0,2.05
OVER25,08.08.2023,18:30,ENGLAND - EFL CUP - 1/64-FINALS,Newport,Charlton,3.25,3.4,2.2,1.22,1.75,1.62,4.0,2.05
OVER25,08.08.2023,18:45,ENGLAND - EFL CUP - 1/64-FINALS,Exeter,Crawley,1.6,4.0,5.5,1.25,1.85,1.91,3.75,2.05
OVER25,08.08.2023,18:45,ENGLAND - EFL CUP - 1/64-FINALS,Stevenage,Watford,3.1,3.4,2.3,1.33,2.05,1.8,3.25,1.75
BTTS_SIM,08.08.2023,00:00,CHILE - PRIMERA DIVISION - ROUND 20,U. De Chile,O'Higgins,1.91,3.4,4.33,1.4,2.25,2.0,2.75,1.62
UNDER25,08.08.2023,18:45,ENGLAND - EFL CUP - 1/64-FINALS,Notts Co,Lincoln,1.95,3.6,3.75,1.25,1.91,1.7,3.75,1.99
