entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over15,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Under15,FT_Odd_Under25
Back_home,13.10.2023,18:45,EUROPE - EURO - QUALIFICATION - ROUND 7,Iceland,Luxembourg,1.91,3.4,4.33,1.36,2.15,1.91,3.0,1.67
Back_home,13.10.2023,21:30,URUGUAY - PRIMERA DIVISION - CLAUSURA - ROUND 5,Defensor Sp.,Montevideo City,1.91,3.3,4.0,1.29,2.0,1.8,3.5,1.85
OVER25,13.10.2023,10:35,WORLD - FRIENDLY INTERNATIONAL,Japan,Canada,1.62,4.0,5.0,1.25,1.85,1.8,3.75,2.0
BTTS_SIM,13.10.2023,14:00,WORLD - FRIENDLY INTERNATIONAL,Angola,Mozambique,2.3,3.0,2.9,1.4,2.25,1.91,2.75,1.62
BTTS_SIM,13.10.2023,15:00,WORLD - FRIENDLY INTERNATIONAL,Iraq,Qatar,2.8,3.0,2.5,1.4,2.25,1.91,2.75,1.62
