entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over15,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Under15,FT_Odd_Under25
Back_home,21.10.2023,16:45,NETHERLANDS - EREDIVISIE - ROUND 9,Waalwijk,FC Volendam,1.6,4.2,5.0,1.14,1.53,1.57,5.5,2.4
Back_home,21.10.2023,16:15,BELGIUM - JUPILER PRO LEAGUE - ROUND 11,RWDM,Westerlo,2.55,3.5,2.5,1.22,1.73,1.62,4.0,2.08
Back_home,21.10.2023,21:30,BRAZIL - SERIE A - ROUND 28,Cuiaba,Goias,1.91,3.25,4.5,1.53,2.6,2.2,2.5,1.48
Back_home,21.10.2023,15:30,POLAND - DIVISION 1 - ROUND 12,Tychy,Podbeskidzie,1.91,3.4,3.75,1.25,1.88,1.73,3.75,1.98
Back_home,21.10.2023,18:45,ROMANIA - LIGA 1 - ROUND 13,Farul Constanta,U. Cluj,1.91,3.4,3.6,1.3,2.0,1.83,3.4,1.85
Back_home,21.10.2023,16:00,TURKEY - 1. LIG - ROUND 9,Goztepe,Sanliurfaspor,1.6,3.8,5.0,1.33,2.05,2.1,3.25,1.75
Time visitante,21.10.2023,21:30,BRAZIL - SERIE A - ROUND 28,Sao Paulo,Gremio,1.7,3.6,5.5,1.33,2.06,1.91,3.4,1.84
OVER25,21.10.2023,16:30,ENGLAND - PREMIER LEAGUE - ROUND 9,Chelsea,Arsenal,3.4,3.2,2.3,1.36,2.1,1.91,3.2,1.7
OVER25,21.10.2023,19:00,SPAIN - LALIGA - ROUND 10,Celta Vigo,Atl. Madrid,3.4,3.4,2.15,1.3,2.0,1.75,3.5,1.9
OVER25,21.10.2023,20:30,ECUADOR - LIGA PRO - SECOND STAGE - ROUND 25,Mushuc Runa,Dep. Cuenca,2.15,3.1,3.3,1.33,2.1,1.8,3.25,1.7
OVER25,21.10.2023,17:00,FRANCE - LIGUE 2 - ROUND 11,AC Ajaccio,Pau FC,1.75,3.25,5.25,1.5,2.5,2.25,2.5,1.5
OVER25,21.10.2023,17:00,FRANCE - LIGUE 2 - ROUND 11,Annecy,Amiens,2.6,3.2,2.7,1.36,2.2,1.83,3.0,1.65
OVER25,21.10.2023,17:00,FRANCE - LIGUE 2 - ROUND 11,Guingamp,Quevilly Rouen,2.15,3.3,3.5,1.44,2.4,2.1,2.63,1.53
OVER25,21.10.2023,16:00,TURKEY - 1. LIG - ROUND 9,Goztepe,Sanliurfaspor,1.6,3.8,5.0,1.33,2.05,2.1,3.25,1.75
BTTS_SIM,21.10.2023,23:00,ECUADOR - LIGA PRO - SECOND STAGE - ROUND 25,Barcelona SC,Libertad,1.4,4.5,6.5,1.2,1.67,1.91,4.33,2.15
